GISYEARJOIN,IDyear_x,LAT,LON,AREA,Nviolations,Was complaint,Inspection Number,CrimeIsArson,CrimeIsOther,Structure_fire,Vehicle_fire,External_fire,Year Property Built,Assessed Land Value,Number of Units,Lot Area,COMH,COMM,COMO,COMR,GOVT,IND,MISC,MRES,SRES,UnkownUseType,A,B,C,D,S,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008,H8C001,H8C002,H8C003,H8C004,H8C005,H8C006,H8C007,H8C008,H8C009,IFC001,IFF001,IFF002,IFF003,IFF004,Urban,SF_pred,VF_pred,EF_pred,minyr,maxyr,sdyr,resunits
G060075002130020022016,2016,37.750066499999996,-122.44107509999999,16958.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1930.1136363636365,353014.0,1.2727272727272727,2526.6363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2272727272727273,0.7727272727272727,0.0,0.0,0.0,0.0,1.0,0.0,112,99,4,0,4,0,1,4,62,22,15,7,2,5,40,27,13,65,62,28,14,20,1,0.0,0.0,0.0,1895.0,1989.0,25.519982436241907,48.0
G060075002130020002016,2016,37.7501958,-122.438933,16823.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1910.9722222222226,423793.83333333326,1.3611111111111112,2773.194444444445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,1.0,0.0,152,123,0,5,19,0,1,4,64,36,29,7,1,6,28,16,12,64,64,34,6,24,1,0.0,0.0,0.0,1880.0,2000.0,25.888351884293915,46.0
G060075002050030042016,2016,37.7567937,-122.43627009999999,17020.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,1925.645161290323,548548.5483870967,1.8064516129032255,2825.709677419354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25806451612903225,0.7419354838709677,0.0,0.0,0.0,0.0,1.0,0.0,137,123,2,0,10,0,2,0,72,21,14,7,5,2,51,26,25,76,72,30,11,31,1,0.0,0.0,0.0,1885.0,1991.0,24.61662139247569,41.0
G060075002120010032016,2016,37.7535291,-122.4370498,16415.0,0.0,1.0,1.0,0.0,6.0,0.0,0.0,0.0,1910.5744680851064,370261.1914893617,1.2340425531914894,2190.228723404255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2765957446808511,0.7234042553191491,0.0,0.0,0.0,0.0,1.0,0.0,157,127,2,1,16,0,2,9,68,32,24,8,2,6,36,19,17,74,68,37,5,26,1,0.0,0.0,0.0,1890.0,2011.0,24.339944142184173,52.0
G060075002110040012016,2016,37.755758,-122.43340020000001,17523.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1903.3714285714289,375903.4285714286,1.5142857142857142,2642.904285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3142857142857143,0.6857142857142857,0.0,0.0,0.0,0.0,1.0,0.0,152,139,1,0,7,0,0,5,71,27,21,6,2,4,44,24,20,76,71,36,9,26,1,0.0,0.0,0.0,1890.0,1954.0,9.165054661613024,48.0
G060075002110040022016,2016,37.7549585,-122.4333237,17336.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1905.35,275805.9,1.8,2488.9405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,1.0,0.0,165,128,0,1,17,0,11,8,88,37,36,1,1,0,51,38,13,96,88,29,17,42,1,0.0,0.0,0.0,1878.0,1959.0,14.140721339450819,51.0
G060075002160010052016,2016,37.7457689,-122.43262450000002,39680.0,0.0,0.0,1.0,0.0,13.0,1.0,0.0,0.0,1950.9846153846154,391995.06153846154,1.4923076923076923,2433.263538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3384615384615385,0.6615384615384615,0.0,0.0,0.0,0.0,1.0,0.0,320,249,7,0,41,0,4,19,187,46,40,6,2,4,141,93,48,197,187,63,16,108,1,0.0,0.0,0.0,1900.0,2005.0,29.194849910316528,86.0
G060075002170020172016,2016,37.73498789999999,-122.4391125,9233.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1935.2142857142856,162178.14285714287,1.0,2639.087142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29,21,0,0,2,0,0,6,14,6,2,4,1,3,8,6,2,14,14,9,0,5,1,0.0,0.0,0.0,1930.0,1950.0,5.604648776871601,14.0
G060075002160010122016,2016,37.7436326,-122.4344795,17705.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1920.1,349852.15,1.1,2702.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.85,0.0,0.0,0.0,0.0,1.0,0.0,86,70,2,0,5,0,4,5,34,18,14,4,1,3,16,9,7,37,34,21,5,8,1,0.0,0.0,0.0,1900.0,2011.0,39.48772812240419,35.0
G060075002170030102016,2016,37.739158200000006,-122.435783,24417.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1959.875,191630.1875,1.0,2742.40625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,175,72,47,0,32,1,14,9,71,42,30,12,3,9,29,23,6,75,71,17,12,42,1,0.0,0.0,0.0,1907.0,2013.0,20.2348558856383,39.0
