GISYEARJOIN,IDyear_x,LAT,LON,AREA,Nviolations,Was complaint,Inspection Number,CrimeIsArson,CrimeIsOther,Structure_fire,Vehicle_fire,External_fire,Year Property Built,Assessed Land Value,Number of Units,Lot Area,COMH,COMM,COMO,COMR,GOVT,IND,MISC,MRES,SRES,UnkownUseType,A,B,C,D,S,H7X001,H7X002,H7X003,H7X004,H7X005,H7X006,H7X007,H7X008,H8C001,H8C002,H8C003,H8C004,H8C005,H8C006,H8C007,H8C008,H8C009,IFC001,IFF001,IFF002,IFF003,IFF004,Urban,SF_pred,VF_pred,EF_pred,minyr,maxyr,sdyr,resunits
G060075006010011562017,2017,37.7919984,-122.46960290000001,2234.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075006010010642017,2017,37.8015542,-122.45016509999998,5873.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075001280010032017,2017,37.79932120000001,-122.4401565,1903.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075006010011512017,2017,37.7971941,-122.4483284,4037.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075001290220052017,2017,37.8005735,-122.43029299999999,1899.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075001010010082017,2017,37.8083348,-122.41065479999999,2875.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075001110010072017,2017,37.7908347,-122.4224233,1675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,1.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075001090030092017,2017,37.7962171,-122.42351029999999,1745.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075001090030072017,2017,37.7971525,-122.423699,1718.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,64,7,2,0,49,0,0,6,22,18,13,5,1,4,4,4,0,23,22,0,0,22,1,1.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075001020030092017,2017,37.802745200000004,-122.4248256,1717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,14,13,0,0,0,0,1,0,11,2,0,2,1,1,9,9,0,12,11,0,0,11,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075001010010032017,2017,37.807758299999996,-122.4081486,1323.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1911.4596235579843,1975.5464480874316,17.93240287074336,29.77130135600081
G060075006150010032017,2017,37.7928532,-122.3921557,13202.0,9.0,0.0,14.0,1.0,24.0,0.0,0.0,0.0,1928.932712128064,264253.3584539845,2.124363624564893,2762.543573745633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,1889.0,1986.0,42.87467895201193,7.0
